"Metabolite","Hyd","avg","Category"
"(-)-Citramalic acid","HyPea.7404_3",0.016916041,"Lipids"
"(-)-Citramalic acid","HyPep.1510_1",0.023712242,"Lipids"
"(-)-Citramalic acid","HyPep.1510_2",0.025141297,"Lipids"
"(-)-Citramalic acid","HyPep.1510_4",0.021436176,"Lipids"
"(-)-Citramalic acid","HyPep.4601N_1",0.00199901,"Lipids"
"(-)-Citramalic acid","HyPep.4601N_2",0.009372052,"Lipids"
"(-)-Citramalic acid","HyPep.1510_3",0.02230649,"Lipids"
"(-)-Citramalic acid","HyPep.7504_1",0.024092975,"Lipids"
"(-)-Citramalic acid","HyPep.7504_2",0.024821814,"Lipids"
"(-)-Citramalic acid","HyPep.7504_3",0.012512442,"Lipids"
"(-)-Citramalic acid","HyPep.4601N_3",0.008847233,"Lipids"
"(-)-Citramalic acid","HyPea.7404_2",0.015135841,"Lipids"
"(-)-Citramalic acid","HY.YEST.412_1",0.054445001,"Lipids"
"(-)-Citramalic acid","HY.YEST.412_2",0.090068874,"Lipids"
"(-)-Citramalic acid","HY.YEST.412_3",0.049214695,"Lipids"
"(-)-Citramalic acid","HY.YEST.466_1",0.09814988,"Lipids"
"(-)-Citramalic acid","HY.YEST.466_2",0.004292549,"Lipids"
"(-)-Citramalic acid","HY.YEST.466_3",0.15340319,"Lipids"
"(-)-Citramalic acid","HY.YEST.503_1",0.019235153,"Lipids"
"(-)-Citramalic acid","HY.YEST.503_2",0.019901647,"Lipids"
"(-)-Citramalic acid","HY.YEST.503_3",0.020095726,"Lipids"
"(-)-Citramalic acid","HY.YEST.555_1",0.04218668,"Lipids"
"(-)-Citramalic acid","HY.YEST.555_2",0.058213225,"Lipids"
"(-)-Citramalic acid","HY.YEST.555_3",0.05686891,"Lipids"
"(-)-Citramalic acid","HyPea.7404_1",0.015696992,"Lipids"
"(-)-Citramalic acid","HyPep.YE_2",0.046898251,"Lipids"
"(-)-Citramalic acid","HyPep.YE_3",0.031520941,"Lipids"
"(-)-Citramalic acid","HyPep.YE_1",0.033514676,"Lipids"
"(1s,8r,9r)-8-hydroxy-4-(propan-2-ylidene)-10-oxatricyclo[7.2.1.01,5]dodecane-8-carboxylic acid","HyPep.YE_3",2.45633431617762e-06,"Other"
"(1s,8r,9r)-8-hydroxy-4-(propan-2-ylidene)-10-oxatricyclo[7.2.1.01,5]dodecane-8-carboxylic acid","HY.YEST.412_2",2.2824998117728e-06,"Other"
"(1s,8r,9r)-8-hydroxy-4-(propan-2-ylidene)-10-oxatricyclo[7.2.1.01,5]dodecane-8-carboxylic acid","HY.YEST.466_1",2.50408270254315e-06,"Other"
"(1s,8r,9r)-8-hydroxy-4-(propan-2-ylidene)-10-oxatricyclo[7.2.1.01,5]dodecane-8-carboxylic acid","HY.YEST.466_2",2.92719090948243e-06,"Other"
"(1s,8r,9r)-8-hydroxy-4-(propan-2-ylidene)-10-oxatricyclo[7.2.1.01,5]dodecane-8-carboxylic acid","HY.YEST.466_3",2.99219886270629e-06,"Other"
