Sample,HyPea.7404_3,HyPep.1510_1,HyPep.1510_2,HyPep.1510_4,HyPep.4601N_1,HyPep.4601N_2,HyPep.1510_3,HyPep.7504_1,HyPep.7504_2,HyPep.7504_3,HyPep.4601N_3,HyPea.7404_2,HY.YEST.412_1,HY.YEST.412_2,HY.YEST.412_3,HY.YEST.466_1,HY.YEST.466_2,HY.YEST.466_3,HY.YEST.503_1,HY.YEST.503_2,HY.YEST.503_3,HY.YEST.555_1,HY.YEST.555_2,HY.YEST.555_3,HyPea.7404_1,HyPep.YE_2,HyPep.YE_3,HyPep.YE_1
Label,3,1,2,4,1,2,3,1,2,3,3,2,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1
(-)-Citramalic acid,0.016916041,0.023712242,0.025141297,0.021436176,0.00199901,0.009372052,0.02230649,0.024092975,0.024821814,0.012512442,0.008847233,0.015135841,0.054445001,0.090068874,0.049214695,0.09814988,0.004292549,0.15340319,0.019235153,0.019901647,0.020095726,0.04218668,0.058213225,0.05686891,0.015696992,0.046898251,0.031520941,0.033514676
"(1s,8r,9r)-8-hydroxy-4-(propan-2-ylidene)-10-oxatricyclo[7.2.1.01,5]dodecane-8-carboxylic acid",0.210355037,0.008269286,0.04506576,0.035612828,0.021092547,0.012350521,0.035177426,0.048391163,3.47E-06,0.01803053,3.07E-06,0.197357286,0.018221109,2.28E-06,2.31E-06,2.50E-06,2.93E-06,2.99E-06,0.017834473,3.21E-06,3.04E-06,2.46E-06,2.47E-06,3.51E-06,0.328837591,3.01E-06,2.46E-06,0.003364728
"(2-oxo-2,3-dihydro-1h-indol-3-yl)acetic acid",0.01151353,0.012587581,0.009879142,0.008885168,0.020078524,0.018608363,0.000882816,0.263429443,0.220403461,0.307486655,0.018410477,0.009408519,0.000609197,0.001489706,0.001011483,0.001561165,0.001128273,0.001328127,0.00150355,0.001501989,0.00206789,0.00924789,0.009467084,0.000663147,0.001305325,0.022637056,0.008383328,0.034521112
"(2r)-5-methoxy-2-methyl-2,3,8,9-tetrahydrofuro[2,3-h]chromen-4-one",0.00031016,1.11E-06,1.15E-06,0.000418719,0.012652894,0.00342312,2.03E-05,0.012460193,0.007838091,0.013706161,1.47E-06,3.86E-05,0.204556176,0.10141884,0.07565055,0.010744239,0.015914701,0.029793928,0.459523059,0.005028025,0.00198119,0.008415763,0.006391107,0.016347371,2.02E-06,0.005318676,0.004715557,0.003326829
"(2r,3r,6r,8r,9s,12s,13r,14r,15r,16r)-6,8,14,15-tetrahydroxy-2,6,13,16-tetramethyl-3-{[(2r,3r,4s,5s,6r)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}-10-oxatetracyclo[7.6.1.0?,?.0??,??]Hexadec-4-en-11-one",1.44E-07,0.268696307,0.268947732,0.212531696,0.008493591,1.29E-07,0.239175448,1.41E-07,1.42E-07,1.46E-07,0.001494484,0.000657937,1.26E-07,1.32E-07,1.49E-07,1.29E-07,1.42E-07,1.14E-07,1.30E-07,1.42E-07,1.45E-07,1.22E-07,1.22E-07,1.38E-07,1.14E-07,1.33E-07,1.37E-07,1.28E-07
"(2z)-4,6-dihydroxy-2-[(4-hydroxy-3,5-dimethoxyphenyl)methylidene]-1-benzofuran-3-one",1.39E-07,1.86E-07,1.83E-07,1.17E-07,0.005548033,0.005213511,1.38E-07,1.38E-07,1.18E-07,1.37E-07,0.001264358,1.63E-07,0.205159114,0.046744321,0.22696396,0.08352054,0.072761209,0.086023398,0.050984085,0.028907381,0.007984383,0.025389892,0.019805984,0.133727956,1.22E-07,1.33E-07,1.27E-07,1.75E-07
"(4s,5z,6s)-4-(2-methoxy-2-oxoethyl)-5-[2-[(e)-3-phenylprop-2-enoyl]oxyethylidene]-6-[(2s,3r,4s,5s,6r)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-4h-pyran-3-carboxylic acid",6.30E-08,0.010995471,0.008911701,0.006607836,0.007503427,0.004708211,0.009213083,0.301761793,0.345560889,0.232724025,0.003849342,7.30E-08,0.000923416,0.000999221,0.000627128,0.00083213,7.85E-08,0.002425856,0.022559777,0.012547722,0.020349678,0.002096368,0.001255325,0.001663309,7.62E-08,0.000677457,7.46E-08,0.001206477
"(E)-5-(2,3-dimethyl-4,5,6,7-tetrahydro-1h-tricyclo[2.2.1.02,6]heptan-3-yl)-2-methylpent-2-enoic acid",0.032008435,0.047654957,0.028507623,0.018643929,0.057519157,0.033643867,0.024061473,0.027920739,0.050216502,0.020254065,0.04834834,0.020556867,0.051765673,0.062565345,0.04812497,0.029481799,0.030732975,0.051411013,0.026132262,0.049564353,0.036024794,0.038701945,0.007751924,0.015860026,0.019916607,0.029907543,0.04448022,0.0482426
?-Gentiobiose,0.008619695,0.078587511,0.074565934,0.074942044,0.055825784,0.055306426,0.075407944,0.014858164,0.012772944,0.015005064,0.055318832,0.00996789,0.030755686,0.020631596,0.053586784,0.000344716,0.00181672,0.000453594,0.065875938,0.081599223,0.08340793,0.012436715,0.018454346,0.001315329,0.011743889,0.026083496,0.03500567,0.025310138
