Metabolite.name.mod,HyPea.7404_1,HyPep.4601N_3,HyPep.7504_1,HyPep.7504_2,HyPep.7504_3,HyPep.YE_1,HyPep.YE_2,HyPep.YE_3,HY.YEST.412_1,HY.YEST.412_2,HY.YEST.412_3,HyPea.7404_2,HY.YEST.466_1,HY.YEST.466_2,HY.YEST.466_3,HY.YEST.503_1,HY.YEST.503_2,HY.YEST.503_3,HY.YEST.555_1,HY.YEST.555_2,HY.YEST.555_3,HyPea.7404_3,HyPep.1510_1,HyPep.1510_2,HyPep.1510_3,HyPep.1510_4,HyPep.4601N_1,HyPep.4601N_2
(-)-Citramalic acid,-0.070174981,-0.329789604,-0.254160975,-0.238726422,-0.444420892,-0.046283486,0.152877476,0.029695456,0.446010917,1.398522077,0.257730121,-0.100805936,0.770010567,-0.711876591,1.221241695,-0.288932372,-0.29693272,-0.241302427,0.16529921,0.638919223,0.378964799,-0.031270565,-0.211889718,-0.220011034,-0.21962386,-0.219619923,-0.600958658,-0.463769987
(-)-Riboflavin,-0.328892723,-0.452148723,-0.49514687,-0.460692179,-0.614634621,-0.588919878,-0.537311936,-0.570235573,1.941979417,2.591922538,2.514396765,-0.480570778,1.604650997,1.673861016,1.377206598,-0.528199848,-0.682548605,-0.649168977,-0.369723637,-0.327823372,0.054128317,-0.503129582,-0.581751124,-0.650474498,-0.645443965,-0.637525061,-0.636500983,-0.648023054
"(1S,8R,9R)-8-hydroxy-4-(propan-2-ylidene)-10-oxatricyclo[7.2.1.01,5]dodecane-8-carboxylic acid",5.114334595,-0.452889207,0.04292334,-0.540472755,-0.357347027,-0.649502404,-0.640923819,-0.715517664,-0.414321753,-0.910513331,-0.762805066,4.494597069,-0.770128537,-0.776867859,-0.741393012,-0.309156025,-0.841080905,-0.712035683,-0.547290709,-0.671106684,-0.727993943,5.391631082,-0.453651286,0.122343303,0.027380137,0.057920012,-0.261467136,-0.40451407
"(2-oxo-2,3-dihydro-1H-indol-3-yl)acetic acid",-0.308450495,-0.196681295,2.672111082,2.139194019,4.210188303,-0.026147426,-0.257794637,-0.517362964,-0.832612098,-0.872380286,-0.741877395,-0.245242012,-0.745669869,-0.75981795,-0.724438961,-0.544949274,-0.800094974,-0.663660141,-0.391113793,-0.45810675,-0.715153332,-0.182725482,-0.386047789,-0.482254744,-0.63076202,-0.465334201,-0.279496906,-0.280015856
"(2R)-5-methoxy-2-methyl-2,3,8,9-tetrahydrofuro[2,3-h]chromen-4-one",-0.330028657,-0.452911406,-0.396390383,-0.445217894,-0.425584344,-0.650260664,-0.550944909,-0.604082584,4.011214538,1.689500932,0.80594003,-0.481539611,-0.601568091,-0.535791489,-0.360241451,6.068143472,-0.703670991,-0.665691344,-0.405170359,-0.527331241,-0.409839557,-0.496802629,-0.583090618,-0.651984522,-0.647314828,-0.631084007,-0.411527889,-0.582122506
"(2R,3R,6R,8R,9S,12S,13R,14R,15R,16R)-6,8,14,15-tetrahydroxy-2,6,13,16-tetramethyl-3-{[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}-10-oxatetracyclo[7.6.1.0?,?.0??,??]hexadec-4-en-11-one",-0.330060201,-0.432130593,-0.548734499,-0.540513231,-0.641861371,-0.71681897,-0.640972522,-0.715572513,-0.847077784,-0.910568471,-0.762849781,-0.465921044,-0.770165805,-0.776910052,-0.74142983,-0.566656327,-0.841164898,-0.71210345,-0.547330167,-0.671159569,-0.728059658,-0.505493699,3.62336899,3.969220649,3.942272308,3.52150568,-0.485482148,-0.650222063
"(2Z)-4,6-dihydroxy-2-[(4-hydroxy-3,5-dimethoxyphenyl)methylidene]-1-benzofuran-3-one",-0.33006007,-0.43533366,-0.548734534,-0.540513521,-0.641861504,-0.71681802,-0.640972513,-0.715572749,4.025534566,0.287811384,3.943781152,-0.482509298,0.540445399,0.325479525,0.35917033,0.169473057,-0.050659385,-0.525048034,-0.118437721,-0.225431063,1.875125884,-0.505493825,-0.583105158,-0.65200108,-0.647701353,-0.639279098,-0.537855455,-0.546503123
"(4S,5Z,6S)-4-(2-methoxy-2-oxoethyl)-5-[2-[(E)-3-phenylprop-2-enoyl]oxyethylidene]-6-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-4H-pyran-3-carboxylic acid",-0.330060835,-0.399353946,3.140785525,3.660882845,3.030455273,-0.692683189,-0.629507374,-0.715573978,-0.825149281,-0.884954842,-0.749847906,-0.482511569,-0.757109966,-0.776911019,-0.710394378,-0.240929948,-0.498035262,-0.235352817,-0.511919691,-0.642911394,-0.695683898,-0.505495957,-0.410972493,-0.498877917,-0.470897257,-0.509918112,-0.503087698,-0.556555952
"(E)-5-(2,3-dimethyl-4,5,6,7-tetrahydro-1H-tricyclo[2.2.1.02,6]heptan-3-yl)-2-methylpent-2-enoic acid",-0.000312969,0.22001601,-0.207360414,0.070027226,-0.322260282,0.248382423,-0.134726249,0.336100565,0.382375741,0.693414642,0.235132092,0.03590574,-0.307536287,-0.311282544,-0.08366788,-0.189348794,0.514231987,0.131885161,0.106433907,-0.496706212,-0.419326356,0.391832174,0.162936728,-0.162168756,-0.185944267,-0.274284442,0.386214053,0.019111796
"1,4-Cyclohexanedicarboxylic acid",-0.320240857,2.22169156,-0.463002462,-0.463382742,-0.538279025,0.106978446,0.138935658,0.146328191,-0.208332108,-0.164121549,-0.070759829,-0.475054254,-0.547153634,-0.544440495,-0.520422402,-0.486259733,-0.662171702,-0.613174819,-0.471037382,-0.61770548,-0.639662794,-0.501053228,-0.251106749,-0.304920636,-0.273094257,-0.266816772,2.975915533,3.648312776
1-Acetylimidazole,-0.264250383,0.154653528,0.267473189,0.249244578,0.549762077,0.446484252,-0.239589646,-0.265379443,-0.490198139,0.193351878,-0.199462087,-0.369724695,-0.571219381,-0.51626716,-0.563982347,0.225013309,0.503833109,0.449931566,-0.332281493,-0.325244866,-0.355967503,0.132085054,0.315915252,0.23034572,0.188870047,0.359844703,0.144953924,0.14232847
1-Decanoyl-2-hydroxy-sn-glycero-3-phosphocholine,-0.261870691,0.016670611,-0.443247397,-0.318347937,-0.176053175,-0.716818042,-0.640971654,-0.647008801,5.516909067,1.336854096,3.881593289,-0.393768205,-0.707405496,-0.77690939,-0.684357484,-0.173984076,0.024950661,0.212414073,-0.49546068,-0.620812556,-0.385403385,-0.367408397,-0.070544787,-0.160752932,-0.326694605,-0.296373676,0.074702724,0.334971314
1-Lauroyl-2-hydroxy-sn-glycero-3-phosphocholine,-0.330059746,-0.449210188,-0.476264474,-0.425475899,-0.453869896,-0.711746352,-0.640971981,-0.715572146,7.838253001,2.657649361,4.174175177,-0.204554735,-0.770165936,-0.776910095,-0.741429521,1.181244781,0.262421431,-0.003089791,-0.379439926,-0.344115081,-0.728059102,-0.505493686,-0.583105653,-0.629433181,-0.6477015,-0.633726067,-0.628376123,-0.650222207
1-Methyladenosine,-0.330061763,0.059302988,-0.546700227,-0.538317946,-0.639502422,-0.714914901,2.035655991,-0.712598318,-0.843207877,-0.908176949,0.374263062,-0.482513021,-0.768012495,-0.156481772,-0.72140496,1.96540041,2.864799823,-0.701413088,-0.538667991,5.836623213,1.003155545,-0.413422993,-0.581079721,-0.591728631,-0.538564974,-0.574727351,-0.626126413,-0.647140097
2'-Deoxyadenosine 5'-monophosphate,-0.193081385,0.773935614,-0.491269614,-0.474900292,-0.525731521,-0.482855815,-0.632353065,-0.623101924,-0.770784442,-0.530836088,-0.754925597,-0.165315705,-0.763756948,-0.771441906,-0.726163792,3.931809842,2.296126786,0.712420477,0.644051155,-0.059118236,-0.445117221,-0.339423364,-0.583106783,-0.647276464,-0.647702293,-0.633676097,1.732098316,1.299733041
