"","Metabolite.name","Adduct.type","Average.Rt.min.","HyPea-7404_1","HyPep-4601N_3","HyPep-7504_1","HyPep-7504_2","HyPep-7504_3","HyPep-YE_1","HyPep-YE_2","HyPep-YE_3","HY-YEST-412_1","HY-YEST-412_2","HY-YEST-412_3","HyPea-7404_2","HY-YEST-466_1","HY-YEST-466_2","HY-YEST-466_3","HY-YEST-503_1","HY-YEST-503_2","HY-YEST-503_3","HY-YEST-555_1","HY-YEST-555_2","HY-YEST-555_3","HyPea-7404_3","HyPep-1510_1","HyPep-1510_2","HyPep-1510_3","HyPep-1510_4","HyPep-4601N_1","HyPep-4601N_2"
"1","Glyceraldehyde","[M-H]-",1.927,0.0485552538316184,0.0244706434580161,0.0049922506827956,0.00545439815019305,0.00899741330503346,0.100025322319568,0.0525528725821319,0.0671080331815781,0.138893993907374,0.122008783930922,0.12078417109469,0.0319172015789993,0.0103131449873227,0.00876248019800705,0.0263524968397304,0.00083080363731703,0.00951796123946846,0.00345250643106612,0.0367137746968173,0.0278648522407442,0.0703819000207337,0.052070668539848,0.00163944776634657,0.00112261474635214,0.00114659159593875,0.000958365199572357,0.0137210418212035,0.00939101201661083
"2","N,N-Dimethylglycine","[M-H]-",1.697,0.0036418693653923,0.00561681232808384,0.00276077772012628,0.00259010294147775,0.00213650481021294,0.0419202231783719,0.0530096976002984,0.050547810706379,0.0562459327079503,0.0672891204043964,0.0601912480848474,0.00233081329335808,0.104969436511826,0.0964193332234473,0.180370112876698,0.0284276747074427,0.0422779063652446,0.0262314711084607,0.0562609758297182,0.0533517077746876,0.0446796899064394,0.00278961698488741,0.00110936813749588,0.00106937007704718,0.00128511532877798,0.00164595821135485,0.00556302580623598,0.00526832400934187
"3","N,N-Dimethylglycine","[M-H]-",2.619,0.00458753791746287,0.00124381558587329,0.0295551689405332,0.00533540148846095,0.0426062865069968,0.0889519273092497,0.0637690436372545,0.0435680908773581,0.0159328137704557,0.113943827549212,0.042145390027633,0.00496943190099646,0.0258738639883849,0.0266012845703789,0.0440843036799093,0.0993720212588137,0.16203441046993,0.0962221975805048,0.0280690255883909,0.0256405734079858,0.018854084102894,0.00513960794136878,0.0022364848612014,0.00345606767044779,0.00169527403644559,0.00365226206046162,0.000420119822152555,3.96834492431375e-05
"4","Serine","[M-H]-",6.648,0.00321021015574234,0.0189122210783076,0.0105244359933726,0.00587980558082966,0.0104964171528003,0.102831626440004,0.116143779154145,0.0595548803360889,0.0610765605569261,0.0581350334858984,0.0701820069593205,0.00392760075976628,0.0470498146109275,0.067895696639968,0.0767152696544948,0.0101679966366563,0.0071330283114818,0.00755299508772424,0.00180367338279629,0.00012588174749854,0.0157871954169298,0.00271385707178842,0.0622922443578583,0.0590738225612397,0.0446603173537509,0.0288168135422411,0.022779272266338,0.024557543705105
"5","Serine","[M-H]-",2.342,0.00425023174268865,0.0424447535654922,0.0125373215135237,0.0104754410976898,0.0148055532406882,0.0664626850217764,0.0540154866045764,0.0327557178925904,0.0655149898338198,0.0623139736862118,0.0896591125678561,0.00585188541085089,0.0538348344926681,0.0903682715573154,0.0920130022794757,0.015751281975337,0.0159209426957059,0.0166901010621243,0.00695238213921155,0.00723836127886739,0.0198459834981463,0.00493626686492485,0.0296933412133988,0.0224934926519526,0.0235266563953759,0.0220832390754983,0.0676140344130862,0.0499506562291474
"6","Serine","[M-H]-",1.682,0.00601675621289799,0.0582103639819843,0.0106541692967461,0.0104487891906492,0.0029358545455958,0.0921135558936003,0.0969996059315088,0.0811175592584534,0.0547815978561689,0.0576054976005263,0.0601432248128977,0.00619185180452971,0.045033840716542,0.0657488633747272,0.0786469799735451,0.012099806096829,0.0121886914783708,0.0122755648612156,0.0052722121610048,0.00496001740453058,0.0174514045326783,0.00212208874635356,0.0224805054298989,0.0200259670575071,0.0188311152167974,0.0189774133745651,0.0640305142015388,0.062636188988337
"7","Catechol","[M-H]-",9.325,5.30626352455495e-07,0.00297226987724515,0.265793932564392,0.378488563521835,0.262799257776788,0.0052079352400901,0.0041238822696696,0.00415766198067157,0.00389983316608507,0.00273753535487428,0.00337176666348278,0.000193026920011282,0.00350137045263321,0.00365165569749914,0.00504213890343755,0.00680144140296895,0.0126384375877387,0.00224083572677382,0.00421143376553186,0.0186084844709447,0.00612791532850101,0.000572531632390605,3.92828342925997e-07,0.000387087912808338,0.00193337141847014,3.64188292727117e-07,3.48328208832251e-07,0.000535994393959898
"8","Catechol; LC-ESI-QTOF; MS2; CE","[M-H]-",5.705,0.00574959543551476,0.00270255550693292,0.0313515100757409,0.0249321790344001,0.11148631793189,0.0429302998899706,0.0659909516186959,0.0450349111824328,0.0700449753071891,0.0778005402825877,0.0939105665883245,0.00501968455205409,0.0338143166126041,0.0327254487723672,0.0376255444815271,0.0438357854758969,0.0301826624361161,0.0616689956022536,0.0397063522622667,0.0290324767496819,0.0508420159022693,0.0102431271644533,0.012608434517301,0.0191816314584164,0.0124848466844374,0.00183915452973211,0.00373277149428544,0.00352234845065799
"9","Histamine","[M-H]-",1.663,0.00477333429985802,0.0976141830338225,0.0111270035810635,0.0115222271592542,0.0115025386934287,0.0371969374591408,0.0603255711556816,0.0396362376952682,0.0417206980814038,0.0629125908186419,0.0657778219276708,0.00297178374368123,0.0665465110919894,0.0636814477823852,0.0673806420319213,0.00859860185044731,0.0157262739444186,0.0114575684476226,0.0153257367177806,0.00989020995511477,0.0185759556400966,0.00226937535209913,0.0128047740949906,0.0126604665897922,0.0130502646532526,0.014913229798851,0.106085369187819,0.113952645212503
"10","Succinic acid; LC-ESI-QTOF; MS2; CE","[M-H]-",2.384,0.0151037334699671,0.00780871343498125,0.00508052479329373,0.00457662698852965,0.00585166409374365,0.0507894615597506,0.0378460202564645,0.0399353531329253,0.0460230564131114,0.035313297304847,0.0286603038297264,0.010346599473351,0.107778076049175,0.108023201439657,0.131801872368885,0.0233925197962904,0.0287319376208133,0.0258693455840354,0.0842272912822725,0.0795040839024017,0.0827444967342757,0.0165381251870202,0.00144330156139864,0.00127159509280925,0.00128471181091837,0.00123329709986638,0.0103753495106008,0.00844544020888838
